9000205891;Poland ; Eastern Europe ; East;241.5;;;;;;
9000053214;Belgium ; BeLux ; North;57.5;;;;;;
9000015815;Belgium ; BeLux ; North;57.5;;;;;;
9000033701;Poland ; Eastern Europe ; East;57.5;;;;;;
9000171356;France ; France International ; West;517.5;;;;;;
9000182615;Germany ; Central Europe ; East;161.0;;;;;;
9000100392;Netherlands ; Netherlands ; North;322.0;;;;;;
9000090515;Germany ; Central Europe ; East;57.5;;;;;;
9000035982;Romania ; Eastern Europe ; East;57.5;;;;;;
9000111125;Italy ; South East Europe ; South;57.5;;;;;;
9000084116;Switzerland ; Central Europe ; East;57.5;;;;;;
9000141735;Bulgaria ; Eastern Europe ; East;57.5;;;;;;
9000102095;Spain ;  Iberica ; South;57.5;;;;;;
9000083583;France ; France International ; West;345.0;;;;;;
9000045861;United Kingdom ; Great Britain ; North;345.0;;;;;;
9000205615;Germany ; Central Europe ; East;161.0;;;;;;
9000028084;Austria ; Central Europe ; East;57.5;;;;;;
9000165316;Italy ; South East Europe ; South;172.5;;;;;;
9000180003;Germany ; Central Europe ; East;161.0;;;;;;
9000091709;Romania ; Eastern Europe ; East;57.5;;;;;;
9000110811;France ; France International ; West;345.0;;;;;;
9000085325;Germany ; Central Europe ; East;57.5;;;;;;
9000178092;Belgium ; BeLux ; North;57.5;;;;;;
9000202903;Poland ; Eastern Europe ; East;241.5;;;;;;
9000075808;Spain ; Iberica ; South;172.5;;;;;;
9000005483;Poland ; Eastern Europe ; East;57.5;;;;;;
9000078174;Austria ; Central Europe ; East;161.0;;;;;;
9000031530;France ; France International ; West;345.0;;;;;;
9000136012;Bulgaria ; Eastern Europe ; East;57.5;;;;;;
9000172682;Germany ; Central Europe ; East;161.0;;;;;;
9000197780;France ; France International ; West;517.5;;;;;;
9000171797;Belgium ; BeLux ; North;57.5;;;;;;
9000195308;Germany ; Central Europe ; East;161.0;;;;;;
9000081104;Italy ; South East Europe ; South;345.0;;;;;;
9000004532;Italy ; South East Europe ; South;345.0;;;;;;
9000136434;France ; France International ; West;345.0;;;;;;
9000067440;Italy ; South East Europe ; South;345.0;;;;;;
9000150975;Netherlands ; Netherlands ; North;161.0;;;;;;
9000036871;Germany ; Central Europe ; East;161.0;;;;;;
9000148377;Italy ; South East Europe ; South;57.5;;;;;;
9000169497;France ; France International ; West;345.0;;;;;;
9000142599;Germany ; Central Europe ; East;57.5;;;;;;
9000017991;Poland ; Eastern Europe ; East;241.5;;;;;;
9000149165;France ; France International ; West;517.5;;;;;;
9000059328;Belgium ; BeLux ; North;57.5;;;;;;
9000159008;France ; France International ; West;345.0;;;;;;
9000150675;Romania ; Eastern Europe ; East;241.5;;;;;;
9000077423;France ; France International ; West;57.5;;;;;;
9000097159;Netherlands ; Netherlands ; North;322.0;;;;;;
9000196630;Spain ;  Iberica ; South;57.5;;;;;;
9000198143;France ; France International ; West;517.5;;;;;;
9000048231;Netherlands ; Netherlands ; North;322.0;;;;;;
9000134547;Germany ; Central Europe ; East;161.0;;;;;;
9000081864;Germany ; Central Europe ; East;57.5;;;;;;
9000029497;Poland ; Eastern Europe ; East;57.5;;;;;;
9000112196;Germany ; Central Europe ; East;57.5;;;;;;
9000042271;Romania ; Eastern Europe ; East;241.5;;;;;;
9000136417;Germany ; Central Europe ; East;161.0;;;;;;
9000077761;Poland ; Eastern Europe ; East;57.5;;;;;;
9000082669;Lithuania ; Eastern Europe ; East;241.5;;;;;;
9000211400;Belgium ; BeLux ; North;57.5;;;;;;
9000036993;Germany ; Central Europe ; East;161.0;;;;;;
9000044360;Netherlands ; Netherlands ; North;57.5;;;;;;
9000098141;Romania ; Eastern Europe ; East;241.5;;;;;;
9000045066;Romania ; Eastern Europe ; East;57.5;;;;;;
9000190800;Austria ; Central Europe ; East;161.0;;;;;;
9000116169;Netherlands ; Netherlands ; North;322.0;;;;;;0.9
9000074065;United Kingdom ; Great Britain ; North;345.0;;;;;;0.9
9000003609;Austria ; Central Europe ; East;161.0;;;;;;0.9
9000009815;Bulgaria ; Eastern Europe ; East;57.5;;;;;;0.9
9000132628;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000055888;Czech Republic ; Eastern Europe ; East;241.5;;;;;;0.9
9000078267;Netherlands ; Netherlands ; North;57.5;;;;;;0.9
9000171636;Italy ; South East Europe ; South;345.0;;;;;;0.9
9000085172;Italy ; South East Europe ; South;345.0;;;;;;0.9
9000077212;Poland ; Eastern Europe ; East;57.5;;;;;;0.9
9000120382;Hungary ; Eastern Europe ; East;241.5;;;;;;0.9
9000201470;Germany ; Central Europe ; East;57.5;;;;;;0.9
9000182954;Ireland ; Great Britain ; North;345.0;;;;;;0.9
9000008813;Hungary ; Eastern Europe ; East;241.5;;;;;;0.9
9000138271;France ; France International ; West;517.5;;;;;;0.9
9000080165;Romania ; Eastern Europe ; East;57.5;;;;;;0.9
9000110274;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000216642;Netherlands ; Netherlands ; North;322.0;;;;;;0.9
9000051457;France ; France International ; West;345.0;;;;;;0.9
9000146565;Netherlands ; Netherlands ; North;57.5;;;;;;0.9
9000201799;Slovakia ; Eastern Europe ; East;241.5;;;;;;0.9
9000132230;France ; France International ; West;345.0;;;;;;0.9
9000024363;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000058501;United Kingdom ; Great Britain ; North;57.5;;;;;;0.9
9000134056;France ; France International ; West;517.5;;;;;;0.9
9000011451;France ; France International ; West;517.5;;;;;;0.9
9000203495;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000029381;United Kingdom ; Great Britain ; North;57.5;;;;;;0.9
9000217326;Poland ; Eastern Europe ; East;241.5;;;;;;0.9
9000041330;Germany ; Central Europe ; East;161.0;;;;;;0.9
9000194483;Hungary ; Eastern Europe ; East;57.5;;;;;;0.9
9000167229;Denmark ; Nordics ; North;161.0;;;;;;0.9
